ZipCode,NumCameras,Population,White Pop,Black Pop,Percent Non-White,Median Income
21201,101,16595.0,6329.0,8749.0,61.86200662850256,26420.0
21202,96,21788.0,7194.0,13329.0,66.98182485771984,22533.0
21205,32,14766.0,3636.0,10352.0,75.37586347013409,17235.0
21206,1,51287.0,12684.0,37531.0,75.26858658139489,30133.0
21207,0,48243.0,5604.0,41686.0,88.38380697717804,30250.0
21208,0,36797.0,19907.0,15822.0,45.90048101747425,40616.0
21209,0,27462.0,20695.0,4542.0,24.641322554803,44300.0
21210,0,15258.0,11732.0,1692.0,23.10918862236204,49888.0
21211,0,16436.0,13355.0,2153.0,18.745436845947918,38090.0
21212,0,34010.0,18118.0,14416.0,46.72743310790944,37016.0
21213,19,31733.0,2680.0,28882.0,91.55453313585227,19880.0
21214,0,20790.0,8842.0,12092.0,57.46993746993747,34561.0
21215,40,59404.0,10608.0,48625.0,82.14261665881085,22306.0
21216,37,30037.0,1109.0,29044.0,96.30788693944136,21729.0
21217,83,36563.0,4093.0,31361.0,88.80562317096519,18847.0
21218,44,48815.0,15436.0,30964.0,68.37857216019665,25490.0
21222,0,54771.0,44656.0,7764.0,18.467802304139052,26885.0
21223,41,23811.0,5028.0,17883.0,78.88370921002897,15468.0
21224,5,50957.0,36737.0,8918.0,27.90588142944051,35246.0
21225,57,33001.0,16154.0,14728.0,51.04996818278234,23715.0
21226,0,7770.0,5677.0,2105.0,26.936936936936938,32673.0
21227,0,33926.0,26018.0,5735.0,23.30955609267229,31299.0
21229,4,48225.0,9280.0,37802.0,80.7568688439606,26231.0
21230,4,34657.0,22913.0,9926.0,33.8863721614681,42027.0
21231,46,16729.0,10528.0,5273.0,37.06736804351725,41724.0
21234,0,69649.0,45099.0,20549.0,35.248172981665206,35688.0
21236,0,39333.0,28130.0,7072.0,28.482444766481073,38996.0
21237,0,30085.0,17981.0,9337.0,40.23267409007811,35113.0
21239,0,32065.0,4847.0,26237.0,84.88382972087946,30192.0
21251,0,881.0,253.0,599.0,71.28263337116913,3627.0
